FECHA_REGISTRO;HORA_REGISTRO;PRECIPITACION;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;ESTACION;FECHA_CORTE
20210818;5:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210818;6:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210818;7:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210818;8:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210818;9:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210818;10:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210818;11:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210818;12:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210818;13:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210818;14:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210818;15:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210818;16:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210818;17:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210818;18:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210818;19:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210818;20:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210818;21:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210818;22:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210818;23:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210819;0:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210819;1:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210819;2:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210819;3:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210819;4:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210819;5:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210819;6:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210819;7:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210819;8:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210819;9:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210819;10:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210819;11:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210819;12:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210819;13:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210819;14:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210819;15:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210819;16:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210819;17:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210819;18:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210819;19:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210819;20:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210819;21:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210819;22:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210819;23:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210820;0:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210820;1:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210820;2:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210820;3:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210820;4:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210820;5:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210820;6:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210820;7:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210820;8:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210820;9:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210820;10:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210820;11:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210820;12:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210820;13:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210820;14:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210820;15:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210820;16:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210820;17:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210820;18:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210820;19:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210820;20:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
